epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,23960.1,0.52854,0.26313,0.84812,0.9804,0.98036,0.99368,0.91428,0.48038,0.21461,0.83301,0.00307,0.00307,0.00307
142,25219.6,0.52778,0.26255,0.84903,0.98026,0.98052,0.99366,0.91446,0.47977,0.21445,0.8329,0.0030205,0.0030205,0.0030205
143,26481.7,0.5254,0.26124,0.84713,0.98046,0.9804,0.99367,0.91466,0.47905,0.21404,0.83253,0.002971,0.002971,0.002971
144,27739.9,0.52447,0.26043,0.84763,0.98046,0.98043,0.99367,0.91491,0.47826,0.21368,0.83228,0.0029215,0.0029215,0.0029215
145,29005.6,0.52505,0.26056,0.84833,0.98052,0.9805,0.99368,0.91513,0.47749,0.21335,0.83205,0.002872,0.002872,0.002872
146,30268.8,0.52265,0.26007,0.84718,0.98067,0.9805,0.99368,0.91538,0.47673,0.21306,0.83166,0.0028225,0.0028225,0.0028225
147,31535.2,0.52284,0.25922,0.84857,0.98058,0.98065,0.99368,0.91572,0.47595,0.21272,0.83161,0.002773,0.002773,0.002773
148,32798.3,0.52118,0.25901,0.84698,0.98053,0.98075,0.99368,0.91619,0.4752,0.21249,0.83148,0.0027235,0.0027235,0.0027235
149,34067.9,0.51981,0.25802,0.84651,0.98042,0.98112,0.99368,0.91632,0.47452,0.21217,0.83127,0.002674,0.002674,0.002674
150,35338.2,0.51921,0.25787,0.84429,0.98072,0.98101,0.99369,0.91656,0.47377,0.21181,0.83076,0.0026245,0.0026245,0.0026245
151,36608.7,0.51799,0.25728,0.84668,0.98066,0.98125,0.99369,0.91676,0.47303,0.21161,0.83068,0.002575,0.002575,0.002575
152,37876.4,0.51672,0.25612,0.84443,0.98106,0.98101,0.9937,0.91703,0.47222,0.21122,0.83037,0.0025255,0.0025255,0.0025255
153,39147.3,0.51506,0.25568,0.84397,0.98118,0.98098,0.99371,0.91727,0.47139,0.2108,0.82994,0.002476,0.002476,0.002476
154,40418.4,0.51413,0.25526,0.84529,0.98117,0.98104,0.99371,0.91743,0.47067,0.2106,0.82988,0.0024265,0.0024265,0.0024265
155,1269.21,0.50322,0.24877,0.84324,0.98121,0.98122,0.99371,0.91769,0.47005,0.21023,0.82983,0.002377,0.002377,0.002377
156,2539.34,0.50868,0.25158,0.84349,0.9813,0.9814,0.99373,0.91788,0.46934,0.20988,0.82965,0.0023275,0.0023275,0.0023275
157,3809.96,0.50775,0.25121,0.84369,0.98125,0.98146,0.99372,0.91819,0.46871,0.20969,0.82952,0.002278,0.002278,0.002278
158,5077.99,0.50612,0.25058,0.84253,0.98127,0.98151,0.99372,0.91837,0.46805,0.20943,0.82932,0.0022285,0.0022285,0.0022285
159,6350.6,0.50659,0.25098,0.84435,0.98154,0.98147,0.99374,0.91862,0.46741,0.20914,0.82935,0.002179,0.002179,0.002179
160,7620.71,0.50625,0.25043,0.84491,0.98159,0.98154,0.99375,0.91875,0.46683,0.20899,0.82947,0.0021295,0.0021295,0.0021295
161,8894.02,0.50454,0.24987,0.84462,0.98218,0.98123,0.99376,0.91903,0.46618,0.20873,0.82949,0.00208,0.00208,0.00208
162,10166.5,0.50231,0.24867,0.84107,0.98212,0.98123,0.99376,0.91926,0.46552,0.20855,0.82927,0.0020305,0.0020305,0.0020305
163,11435.3,0.50203,0.24799,0.84228,0.98189,0.98168,0.99377,0.91941,0.46488,0.20823,0.82908,0.001981,0.001981,0.001981
164,12705.4,0.50006,0.24733,0.84151,0.98196,0.98161,0.99377,0.91959,0.46416,0.20793,0.82891,0.0019315,0.0019315,0.0019315
165,13977.5,0.49904,0.24656,0.84176,0.98209,0.98169,0.99377,0.91975,0.4635,0.20757,0.82886,0.001882,0.001882,0.001882
166,15250.8,0.49816,0.24595,0.84033,0.98194,0.98201,0.99378,0.91996,0.4627,0.20712,0.82857,0.0018325,0.0018325,0.0018325
167,16526.4,0.49719,0.24573,0.84201,0.98242,0.9817,0.99379,0.92045,0.46191,0.20678,0.82852,0.001783,0.001783,0.001783
168,17799.3,0.49628,0.24506,0.84145,0.98258,0.98165,0.99381,0.92078,0.46112,0.20645,0.82852,0.0017335,0.0017335,0.0017335
169,19068.8,0.49378,0.24383,0.83931,0.9827,0.9817,0.99381,0.92098,0.46036,0.20609,0.82818,0.001684,0.001684,0.001684
170,20340.3,0.49152,0.24294,0.84022,0.98279,0.98187,0.99382,0.92129,0.45962,0.20586,0.82809,0.0016345,0.0016345,0.0016345
171,21612.7,0.48944,0.24173,0.83635,0.98274,0.98197,0.99382,0.92151,0.45881,0.20548,0.82749,0.001585,0.001585,0.001585
172,22884.1,0.48892,0.24165,0.83689,0.98267,0.98222,0.99381,0.9217,0.45795,0.20518,0.82689,0.0015355,0.0015355,0.0015355
173,24156.4,0.48723,0.24072,0.83768,0.98249,0.98242,0.99382,0.92201,0.45705,0.20485,0.82661,0.001486,0.001486,0.001486
174,25426.5,0.48537,0.23956,0.83692,0.98232,0.98264,0.99382,0.92224,0.45623,0.20436,0.82627,0.0014365,0.0014365,0.0014365
175,1259.12,0.47459,0.2336,0.83523,0.98233,0.98262,0.99382,0.92246,0.45582,0.20419,0.82623,0.001387,0.001387,0.001387
176,2516.26,0.47843,0.23521,0.83521,0.98232,0.98266,0.99382,0.92263,0.45527,0.20383,0.82604,0.0013375,0.0013375,0.0013375
177,3775.09,0.4775,0.23522,0.83717,0.98239,0.98278,0.99382,0.92292,0.45476,0.20359,0.82626,0.001288,0.001288,0.001288
178,5034.98,0.47479,0.23377,0.83401,0.9826,0.98276,0.99382,0.92313,0.45417,0.20329,0.82599,0.0012385,0.0012385,0.0012385
179,6290.22,0.47456,0.23359,0.83349,0.9828,0.98272,0.99383,0.92349,0.45348,0.20298,0.82548,0.001189,0.001189,0.001189
180,7549.24,0.47365,0.23312,0.83422,0.98277,0.98277,0.99383,0.92374,0.45287,0.20262,0.82532,0.0011395,0.0011395,0.0011395
181,8807.44,0.47185,0.23237,0.8339,0.98272,0.98296,0.99385,0.92391,0.45217,0.20232,0.82519,0.00109,0.00109,0.00109
